person.name,fram.stock.id
DA,1
DA,2
DA,3
DA,4
DA,5
DA,6
DA,7
DA,8
DA,9
DA,10
DA,11
DA,12
DA,13
DA,14
DA,15
DA,16
DA,17
DA,18
DA,19
DA,20
DA,21
DA,22
DA,23
DA,24
DA,25
DA,26
DA,27
DA,28
DA,29
DA,30
DA,31
DA,32
DA,33
DA,34
DA,35
DA,36
DA,37
DA,38
DA,39
DA,40
DA,41
DA,42
DA,43
DA,44
DA,45
DA,46
CT,47
CT,48
DA,49
DA,50
DA,51
DA,52
DA,53
DA,54
DA,55
DA,56
DA,57
DA,58
DA,59
DA,60
DA,61
DA,62
DA,63
DA,64
DA,65
DA,66
DA,67
DA,68
DA,69
DA,70
DA,71
DA,72
DA,73
DA,74
DA,75
DA,76
DA,77
DA,78
DA,79
DA,80
DA,81
DA,82
DA,83
DA,84
DA,85
DA,86
DA,87
DA,88
DA,89
DA,90
DA,91
DA,92
DA,93
DA,94
DA,95
DA,96
DA,97
DA,98
DA,99
DA,100
DA,101
DA,102
DA,103
DA,104
DA,105
DA,106
DA,107
DA,108
DA,109
DA,110
DA,111
DA,112
DA,113
DA,114
DA,115
DA,116
DA,117
DA,118
DA,119
DA,120
,121
,122
,123
,124
CT,125
CT,126
DA,127
DA,128
DA,129
DA,130
DA,131
DA,132
DA,133
DA,134
DA,135
DA,136
DA,137
DA,138
DA,139
DA,140
DA,141
DA,142
DA,143
DA,144
DA,145
DA,146
CT,147
CT,148
DA,149
DA,150
DA,151
DA,152
DA,153
DA,154
DA,155
DA,156
DA,157
DA,158
DA,159
DA,160
DA,161
DA,162
DA,163
DA,164
ML,165
ML,166
ML,167
ML,168
ML,169
ML,170
ML,171
ML,172
ML,173
ML,174
ML,175
ML,176
CM,177
CM,178
CM,179
CM,180
CM,181
CM,182
CM,183
CM,184
CM,185
CM,186
CM,187
CM,188
CM,189
CM,190
CM,191
CM,192
CM,193
CM,194
CM,195
CM,196
CM,197
CM,198
CM,199
CM,200
CM,201
CM,202
CM,203
CM,204
JS,205
JS,206
JS,207
JS,208
JS,209
JS,210
JS,211
JS,212
JS,213
JS,214
JS,215
JS,216
JS,217
JS,218
JS,219
JS,220
JS,221
JS,222
JS,223
JS,224
JS,225
JS,226
JS,227
JS,228
JS,229
JS,230
JS,231
JS,232
JS,233
JS,234
JS,235
JS,236
JS,237
JS,238
,239
,240
,241
,242
,243
,244
,245
,246
